1        0.0     0.00    0.00    1000.00 0.00
2        0.2     4.33    0.42    50.00   1.07
3        0.3     2.00    -2.83   44.12   1.53
4        0.5     2.02    -2.81   44.11   1.53
5        0.7     2.03    -2.78   44.31   1.53
6        0.9     2.08    -2.73   44.47   1.53
7        1.2     2.17    -2.65   44.58   1.52
8        1.5     2.24    -2.65   44.23   1.52
9        1.7     2.31    -2.66   43.71   1.52
10       2.0     2.27    -2.65   44.12   1.53
11       2.2     2.12    -2.60   45.39   1.53
12       2.5     2.05    -2.54   46.22   1.54
13       2.7     2.06    -2.52   46.33   1.53
14       3.0     2.17    -2.54   45.72   1.52
15       3.2     2.32    -2.61   44.28   1.51
16       3.5     2.44    -2.66   43.03   1.51
17       3.7     2.50    -2.69   42.25   1.50
18       4.0     2.47    -2.72   42.14   1.51
19       4.2     2.38    -2.73   42.51   1.52
20       4.4     2.28    -2.77   42.77   1.54
21       4.7     2.16    -2.79   43.37   1.56
22       4.9     1.99    -2.79   44.52   1.58
23       5.2     0.97    -2.76   66.96   1.60
24       5.4     1.34    -2.69   49.15   1.62
25       5.7     1.32    -2.59   49.44   1.64
26       5.9     1.19    -2.51   50.93   1.65
27       6.2     1.19    -2.45   51.42   1.66
28       6.4     1.17    -2.39   54.25   1.65
29       6.7     0.99    -2.27   85.53   1.67
30       6.9     0.85    -2.40   100.23  1.70
31       7.2     0.96    -1.37   233.18  1.72
32       7.4     1.03    -1.19   244.01  1.73
33       7.7     1.16    -1.08   211.33  1.73
34       7.9     1.23    -1.05   197.89  1.73
35       8.2     1.04    -1.10   253.58  1.73
36       8.4     0.90    -1.20   290.92  1.73
37       8.7     0.81    -1.55   247.96  1.73
38       8.9     0.82    -1.97   153.57  1.72
39       9.2     0.89    -1.84   165.21  1.70
40       9.4     1.01    -2.00   105.82  1.67
41       9.7     1.16    -2.23   56.67   1.65
42       9.9     1.36    -2.28   49.70   1.62
43       10.2    1.55    -2.40   48.94   1.60
44       10.4    1.83    -2.55   47.13   1.57
45       10.7    2.24    -2.72   43.53   1.55
46       10.9    2.66    -2.89   38.50   1.53
47       11.3    3.07    -3.04   32.47   1.54
48       11.6    3.26    -3.12   28.92   1.55
49       11.9    3.08    3.14    32.49   1.57
50       12.1    2.64    -3.11   35.49   1.60
51       12.4    1.79    -3.04   44.49   1.63
52       12.8    1.49    -2.92   47.66   1.67
53       13.1    1.09    -2.75   58.29   1.70
54       13.4    0.89    -2.59   82.95   1.73
55       13.6    0.87    -2.49   90.98   1.74
56       13.9    0.90    -2.46   89.38   1.74
57       14.3    1.03    -2.47   71.47   1.72
58       14.6    1.19    -2.53   51.15   1.70
59       14.8    1.36    -2.58   49.22   1.67
60       15.1    1.53    -2.61   48.31   1.64
61       15.3    1.72    -2.62   47.30   1.61
62       15.6    1.93    -2.67   45.82   1.58
63       15.8    2.20    -2.76   43.35   1.55
64       16.0    2.56    -2.87   39.55   1.51
65       16.3    3.01    -2.96   34.45   1.48
66       16.5    3.30    -3.01   30.88   1.46
67       16.8    3.30    -3.04   30.32   1.45
68       17.0    3.09    -3.02   32.60   1.47
69       17.3    2.72    -2.96   36.85   1.50
70       17.5    2.31    -2.88   41.36   1.54
71       17.8    1.70    -2.76   46.72   1.58
72       18.0    1.73    -2.65   47.08   1.61
73       18.3    1.66    -2.58   47.76   1.62
74       18.5    1.66    -2.55   47.89   1.62
75       18.8    1.75    -2.55   47.47   1.59
76       19.0    1.88    -2.59   46.65   1.55
77       19.3    2.09    -2.67   44.93   1.50
78       19.5    2.22    -2.74   43.44   1.47
79       19.8    2.26    -2.78   42.73   1.46
80       20.0    2.18    -2.78   43.30   1.48
81       20.3    1.17    -2.75   52.11   1.54
82       20.5    1.62    -2.67   47.59   1.61
83       20.8    1.59    -2.58   48.11   1.74
84       21.0    1.42    -2.44   49.24   1.90
85       21.3    1.28    -2.28   49.85   2.13
86       21.5    1.20    -2.12   50.00   2.47
Time to reach the goal = 21.549999
