1        0.0     0.00    0.00    1000.00 0.00
2        0.1     6.00    0.17    50.00   1.16
3        0.3     0.58    -2.86   83.06   1.95
4        0.4     0.57    -2.83   87.14   1.95
5        0.6     0.56    -2.78   93.84   1.96
6        0.9     0.75    -2.75   83.68   1.96
7        1.1     1.16    -2.68   53.94   1.97
8        1.4     1.95    -2.62   46.06   1.98
9        1.6     3.50    -2.55   39.64   2.00
10       1.9     3.47    -2.45   41.85   2.01
11       2.2     1.04    -2.36   73.53   2.01
12       2.4     3.25    -2.25   46.76   2.00
13       2.7     3.40    -2.19   47.82   1.99
14       2.9     3.93    -2.26   45.94   1.99
15       3.2     4.06    -2.32   44.55   1.98
16       3.4     4.12    -2.35   43.89   1.98
17       3.7     4.09    -2.32   44.67   1.99
18       4.0     3.65    -2.24   46.56   2.01
19       4.3     4.05    -2.17   48.13   2.02
20       4.6     4.15    -2.16   48.46   2.02
21       4.8     4.30    -2.18   47.88   2.01
22       5.1     4.37    -2.24   46.43   2.01
23       5.3     4.42    -2.35   43.83   2.02
24       5.7     4.56    -2.43   42.01   2.02
25       5.9     4.73    -2.46   41.19   2.01
26       6.2     1.26    -2.46   49.78   1.99
27       6.4     4.90    -2.42   42.27   1.96
28       6.7     4.99    -2.34   44.17   1.93
29       6.9     5.00    -2.27   45.73   1.91
30       7.2     2.59    -2.23   48.05   1.90
31       7.5     0.63    -2.25   147.83  1.88
32       7.8     0.83    -2.26   112.29  1.87
33       8.0     4.82    -2.16   48.32   1.88
34       8.3     4.86    -2.03   50.00   1.89
35       8.5     3.64    -1.86   50.00   1.89
36       8.8     3.56    -1.70   50.91   1.90
37       9.0     3.52    -1.59   52.51   1.90
38       9.3     3.37    -1.52   57.80   1.91
39       9.5     3.85    -1.47   50.00   1.92
40       9.8     3.86    -1.47   50.00   1.92
41       10.0    3.35    -1.53   58.35   1.92
42       10.3    3.42    -1.65   54.88   1.91
43       10.5    3.45    -1.76   53.02   1.91
44       10.8    3.46    -1.84   52.13   1.91
45       11.0    3.45    -1.84   52.31   1.91
46       11.3    3.45    -1.81   52.57   1.91
47       11.5    3.41    -1.73   54.24   1.91
48       11.8    3.34    -1.64   56.94   1.92
49       12.1    3.18    -1.58   62.74   1.95
50       12.4    3.11    -1.64   63.37   1.97
51       12.6    3.12    -1.77   59.12   1.98
52       12.9    3.61    -1.97   50.00   1.96
53       13.1    3.61    -2.03   50.00   1.95
54       13.4    4.93    -2.22   46.92   1.95
55       13.7    3.10    -2.28   46.55   1.97
56       13.9    3.08    -2.28   46.45   1.99
57       14.3    2.96    -2.26   47.19   2.02
58       14.5    2.91    -2.19   48.31   2.06
59       14.8    4.91    -2.07   50.00   2.10
60       15.1    4.90    -2.12   49.34   2.16
61       15.4    2.73    -2.12   49.66   2.24
62       15.7    3.35    -2.12   49.40   2.32
63       15.9    3.27    -2.17   48.51   2.36
64       16.2    3.16    -2.16   48.72   2.40
65       16.5    4.93    -2.14   48.86   2.45
66       16.8    4.84    -2.03   50.00   2.54
67       17.0    2.86    -1.72   66.45   2.61
68       17.3    4.93    -1.69   50.00   2.69
69       17.5    3.17    -1.68   60.78   2.77
70       17.8    3.89    -1.64   50.00   2.83
71       18.0    3.45    -1.60   54.39   2.87
72       18.3    3.29    -1.44   62.16   2.87
73       18.5    3.19    -1.33   68.62   2.88
74       18.8    3.12    -1.25   74.13   2.90
75       19.0    3.07    -1.18   78.98   2.82
76       19.3    2.98    -1.11   86.59   2.73
77       19.5    2.97    -1.21   83.50   2.62
78       19.8    3.03    -1.10   84.04   2.45
79       20.0    3.19    -1.31   69.46   2.23
80       20.3    1.42    -1.24   161.76  2.02
81       20.5    4.46    -1.81   50.00   1.89
82       20.8    4.39    -1.77   50.00   1.80
83       21.0    4.22    -2.01   50.00   1.68
84       21.3    4.33    -2.34   44.18   1.57
85       21.5    1.36    -2.63   49.17   1.54
86       21.8    1.37    -2.87   48.70   1.57
Time to reach the goal = 21.799999
