1        0.0     0.00    0.00    1000.00 0.00
2        0.2     6.00    0.17    50.00   1.15
3        0.3     0.55    -2.85   86.60   1.95
4        0.5     0.54    -2.82   90.74   1.96
5        0.7     0.65    -2.76   89.32   1.96
6        0.9     0.91    -2.72   72.84   1.96
7        1.2     1.40    -2.66   48.85   1.97
8        1.5     2.47    -2.60   43.60   1.99
9        1.8     3.54    -2.48   41.04   2.00
10       2.0     3.60    -2.37   43.31   2.00
11       2.3     3.68    -2.27   45.91   2.00
12       2.5     1.30    -2.28   49.81   1.99
13       2.8     3.94    -2.33   44.48   1.98
14       3.0     3.95    -2.32   44.57   1.99
15       3.3     3.92    -2.28   45.58   2.00
16       3.5     3.88    -2.20   47.59   2.01
17       3.8     3.90    -2.12   49.29   2.02
18       4.1     3.98    -2.08   50.00   2.02
19       4.3     4.14    -2.10   49.93   2.01
20       4.6     4.29    -2.16   48.37   2.00
21       4.9     4.38    -2.27   45.91   2.00
22       5.2     4.49    -2.41   42.53   2.02
23       5.5     4.67    -2.51   39.97   2.02
24       5.8     4.84    -2.58   38.29   2.02
25       6.1     4.84    -2.55   39.03   2.04
26       6.3     0.75    -2.57   98.72   2.07
27       6.7     4.41    -2.51   40.05   2.10
28       6.9     4.11    -2.44   41.79   2.14
29       7.2     3.91    -2.23   46.80   2.17
30       7.5     3.80    -2.11   49.70   2.21
31       7.8     3.77    -2.04   50.00   2.23
32       8.0     3.85    -1.99   50.00   2.24
33       8.3     3.95    -1.98   50.00   2.24
34       8.6     4.09    -1.98   50.00   2.22
35       8.8     4.23    -1.95   50.00   2.20
36       9.1     4.42    -1.91   50.00   2.17
37       9.3     4.58    -1.91   50.00   2.13
38       9.6     4.71    -1.95   50.00   2.10
39       9.8     4.85    -2.01   50.00   2.07
40       10.1    4.98    -2.14   48.99   2.04
41       10.3    2.93    -2.17   48.64   2.03
42       10.6    2.92    -2.21   48.09   2.03
43       10.8    2.89    -2.19   48.32   2.04
44       11.1    2.85    -2.14   49.26   2.07
45       11.4    4.90    -2.07   50.00   2.09
46       11.6    2.78    -2.05   51.97   2.13
47       11.9    4.89    -2.12   49.40   2.18
48       12.1    4.72    -2.12   49.39   2.25
49       12.4    4.93    -2.12   49.29   2.32
50       12.6    4.90    -2.19   47.69   2.38
51       12.9    4.95    -2.20   47.42   2.44
52       13.1    4.80    -1.81   50.00   2.50
53       13.4    2.86    -1.71   66.99   2.57
54       13.6    4.92    -1.73   50.00   2.64
55       13.9    4.40    -1.69   50.00   2.68
56       14.1    3.90    -1.65   50.00   2.69
57       14.4    3.70    -1.60   50.00   2.67
58       14.6    3.68    -1.33   50.00   2.61
59       14.9    3.77    -1.33   50.00   2.53
60       15.1    4.03    -1.41   50.00   2.41
61       15.4    4.50    -1.38   50.00   2.26
62       15.6    4.94    -1.88   50.00   2.08
63       15.9    4.39    -1.83   50.00   1.89
64       16.1    4.27    -1.80   50.00   1.68
65       16.4    4.75    -2.00   50.00   1.48
66       16.6    1.51    -2.23   49.59   1.27
67       16.9    1.72    -2.48   48.00   1.06
68       17.1    2.16    -2.74   43.83   0.86
69       17.4    3.54    -3.05   27.63   0.74
70       17.6    4.20    2.91    30.62   0.74
71       17.9    3.55    2.63    37.56   0.80
72       18.1    2.72    2.40    45.33   0.88
73       18.4    1.30    2.29    49.80   0.92
74       18.6    2.56    2.29    47.34   0.97
75       18.9    3.94    2.38    43.12   1.04
76       19.1    3.35    2.51    41.21   1.22
77       19.4    3.92    2.64    36.95   1.44
78       19.6    3.85    2.81    32.91   1.70
79       19.9    1.53    3.00    47.01   1.93
80       20.1    4.79    -3.05   27.08   2.18
81       20.4    3.58    -2.82   32.91   2.37
82       20.6    3.67    -2.54   39.36   2.57
83       20.9    3.60    -2.25   46.35   2.77
84       21.1    3.44    -2.05   50.41   2.93
85       21.4    4.02    -1.60   50.00   3.08
86       21.6    2.62    -1.43   88.53   -3.10
87       21.9    2.19    -0.91   138.05  -3.08
88       22.1    2.13    -0.89   142.02  -3.12
89       22.4    2.19    -0.52   137.93  3.12
90       22.6    2.22    -0.49   136.00  3.09
91       22.9    2.26    -0.46   134.02  3.03
92       23.1    2.27    -0.44   133.20  2.97
93       23.4    2.38    -0.74   126.17  2.80
94       23.6    2.56    -0.77   114.90  2.60
95       23.9    1.84    -1.00   159.86  2.36
96       24.1    3.40    -1.24   60.20   2.09
97       24.4    4.37    -1.80   50.00   1.88
98       24.6    4.54    -1.76   50.00   1.65
99       24.9    4.75    -1.87   50.00   1.45
100      25.1    4.48    -2.17   48.26   1.26
101      25.4    1.71    -2.48   48.03   1.08
102      25.6    2.02    -2.82   44.07   0.98
103      25.9    3.98    3.11    25.76   0.96
104      26.1    4.04    2.84    32.26   0.98
105      26.4    3.40    2.65    37.90   1.00
106      26.6    3.42    2.58    39.22   1.04
107      26.9    3.40    2.61    38.67   1.08
108      27.1    3.42    2.72    36.09   1.15
109      27.4    4.04    2.83    32.39   1.32
110      27.6    1.77    3.00    44.80   1.57
111      27.9    1.71    -3.10   44.87   1.91
Time to reach the goal = 27.900000
